dept,jednostka,url,liczba,zdanie
DDW,"DOLNOŚLĄSKI URZĄD WOJEWÓDZKI WE WROCŁAWIU pl. Powstańców Warszawy 1, 50-153 WROCŁAW Wystąp","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",3515,"I , str. 128-130) Przeciętne zatrudnienie80 w części 85/02 – województwo dolnośląskie w 2025 r. wyniosło 3 515 osób i było wyższe niż w 2024 r. o 65 osób"
DDW,"DOLNOŚLĄSKI URZĄD WOJEWÓDZKI WE WROCŁAWIU pl. Powstańców Warszawy 1, 50-153 WROCŁAW Wystąp","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,"Natomiast mieszczące się w ww. wielkości przeciętne zatrudnienie w DUW81 wynoszące 994,46 osoby, zwiększyło się w stosunku do 2024 r. o 62,51 osób (tj. o 6,7%), co wynikało ze wzrostu zatrudnienia m.in. w Centrum Powiadamiania Rat"
DDW,"DOLNOŚLĄSKI URZĄD WOJEWÓDZKI WE WROCŁAWIU pl. Powstańców Warszawy 1, 50-153 WROCŁAW Wystąp","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,"IX, str. 52-55) W podziale na status zatrudnienia pracowników, przeciętne zatrudnienie u dysponenta części 85/02 w 2025 r. kształtowało się następująco: [1] osoby nieobjęte mnożnikowymi systemami wynagrodzeń (status 01) – 1 765 os"
DDW,"DOLNOŚLĄSKI URZĄD WOJEWÓDZKI WE WROCŁAWIU pl. Powstańców Warszawy 1, 50-153 WROCŁAW Wystąp","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,"Wydatki na wynagrodzenia w 2025 r. w części 85/02 wyniosły 518 361,6,0 tys. zł (stanowiące 99,6% wielkości planowanej po zmianach) i były wyższe w porównaniu do wydatków z roku poprzedniego o 433 556,4 tys. zł, tj. o 6,9%. Wynikał"
DDW,"KOLEJE DOLNOŚLĄSKIE S.A. W LEGNICY ul. Kolejowa 2, 59-220 LEGNICA Wystąpienie Data publika","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf",,NOT_FOUND
DDW,"KOMENDA WOJEWÓDZKA POLICJI WE WROCŁAWIU Podwale 31-33, 50-040 WROCŁAW Wystąpienie Data pub","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf","8654,38","XI, str. 289-333) W 2025 r. w KWP przeciętne zatrudnienie ogółem wyniosło 8 654,38 osób25 i w porównaniu do 2024 r. (8 543,59) zwiększyło się o 110,79 osób"
DDW,"MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE SP. Z O.O. WE WROCŁAWIU ul. Bolesława Prusa 75-79,","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf",,NOT_FOUND
DDW,"URZĄD SKARBOWY WROCŁAW-PSIE POLE WE WROCŁAWIU ul. Trzebnicka 33, 50-231 WROCŁAW Wystąpieni","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf",,NOT_FOUND
DDW,"WOJEWÓDZKI INSPEKTORAT FARMACEUTYCZNY WE WROCŁAWIU ul. Ofiar Oświęcimskich 12, 50-069 WROC","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf","19,9","Przeciętne zatrudnienie w 2025 r. wyniosło 19,9 etatów, a przeciętne miesięczne wynagrodzenie brutto 12,7 tys. zł"
DDW,"WOJEWÓDZKI URZĄD OCHRONY ZABYTKÓW WE WROCŁAWIU ul. Władysława Łokietka 11, 50-243 WROCŁAW ","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf","98,15","Przeciętne zatrudnienie14 w Urzędzie w 2025 r. wyniosło 98,15 osoby i nie uległo istotnej zmianie w stosunku do roku poprzedniego (96,30 osoby)"
