urzad,kategoria,czesc,zatrudnienie_przecietne_etaty_korpusSC_2025
Generalna Dyrekcja Dróg Krajowych i Autostrad,Urzędy centralne,39,4310.57
Ministerstwo Finansów,Ministerstwa z KPRM,19,2659.17
Ministerstwo Spraw Zagranicznych,Ministerstwa z KPRM,45,2123.4
Ministerstwo Funduszy i Polityki Regionalnej,Ministerstwa z KPRM,34,1264.37
Główny Inspektorat Ochrony Środowiska,Urzędy centralne,41,1251.85
Mazowiecki Urząd Wojewódzki w Warszawie,Urzędy wojewódzkie,85/14,1052.58
Główny Inspektorat Transportu Drogowego,Urzędy centralne,39,993.91
Ministerstwo Rozwoju i Technologii,Ministerstwa z KPRM,20,981.57
Małopolski Urząd Wojewódzki w Krakowie,Urzędy wojewódzkie,85/12,962.39
Śląski Urząd Wojewódzki w Katowicach,Urzędy wojewódzkie,85/24,953.88
Wielkopolski Urząd Wojewódzki w Poznaniu,Urzędy wojewódzkie,85/30,905.8
Ministerstwo Zdrowia,Ministerstwa z KPRM,46,861.96
Ministerstwo Rolnictwa i Rozwoju Wsi,Ministerstwa z KPRM,35,815.76
Ministerstwo Sprawiedliwości,Ministerstwa z KPRM,37,766.26
Komenda Główna Policji,Urzędy centralne,42,757.62
Ministerstwo Obrony Narodowej,Ministerstwa z KPRM,29,757.33
Ministerstwo Klimatu i Środowiska,Ministerstwa z KPRM,51,754.42
Ministerstwo Spraw Wewnętrznych i Administracji,Ministerstwa z KPRM,17,744.2
Ministerstwo Infrastruktury,Ministerstwa z KPRM,22,737.87
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Ministerstwa z KPRM,63,719.09
Kancelaria Prezesa Rady Ministrów,Ministerstwa z KPRM,16,706.89
Łódzki Urząd Wojewódzki w Łodzi,Urzędy wojewódzkie,85/10,694.73
Dolnośląski Urząd Wojewódzki we Wrocławiu,Urzędy wojewódzkie,85/02,684.36
Lubelski Urząd Wojewódzki w Lublinie,Urzędy wojewódzkie,85/06,673.47
Główny Urząd Statystyczny,Urzędy centralne,58,666.24
Pomorski Urząd Wojewódzki w Gdańsku,Urzędy wojewódzkie,85/22,629.23
Ministerstwo Kultury i Dziedzictwa Narodowego,Ministerstwa z KPRM,24,590.91
Podkarpacki Urząd Wojewódzki w Rzeszowie,Urzędy wojewódzkie,85/18,580.49
Urząd Ochrony Konkurencji i Konsumentów,Urzędy centralne,53,574.07
Urząd Komunikacji Elektronicznej,Urzędy centralne,76,526.16
"Urząd Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych",Urzędy centralne,46,518.7
Zachodniopomorski Urząd Wojewódzki w Szczecinie,Urzędy wojewódzkie,85/32,511.24
Kujawsko-pomorski Urząd Wojewódzki w Bydgoszczy,Urzędy wojewódzkie,85/04,483.0
Warmińsko-Mazurski Urząd Wojewódzki w Olsztynie,Urzędy wojewódzkie,85/28,474.55
Podlaski Urząd Wojewódzki w Białymstoku,Urzędy wojewódzkie,85/20,464.48
Ministerstwo Cyfryzacji,Ministerstwa z KPRM,27,444.91
Lubuski Urząd Wojewódzki w Gorzowie Wielkopolskim,Urzędy wojewódzkie,85/08,421.58
Ministerstwo Nauki i Szkolnictwa Wyższego,Ministerstwa z KPRM,28,412.72
Świętokrzyski Urząd Wojewódzki w Kielcach,Urzędy wojewódzkie,85/26,406.32
Wyższy Urząd Górniczy,Urzędy centralne,60,403.87
Urząd Regulacji Energetyki,Urzędy centralne,50,373.23
Urząd Lotnictwa Cywilnego,Urzędy centralne,39,349.37
Ministerstwo Edukacji Narodowej,Ministerstwa z KPRM,30,344.46
Opolski Urząd Wojewódzki w Opolu,Urzędy wojewódzkie,85/16,343.54
Urząd do Spraw Cudzoziemców,Urzędy centralne,42,341.9
Ministerstwo Aktywów Państwowych,Ministerstwa z KPRM,55,322.66
Główny Urząd Miar,Urzędy centralne,64,303.2
Główny Inspektorat Ochrony Roślin i Nasiennictwa,Urzędy centralne,32,281.11
Urząd Transportu Kolejowego,Urzędy centralne,71,263.33
Urząd Patentowy Rzeczypospolitej Polskiej,Urzędy centralne,61,252.27
Ministerstwo Energii,Ministerstwa z KPRM,47,251.16
Główny Inspektorat Jakości Handlowej Artykułów Rolno-Spożywczych,Urzędy centralne,35,235.95
Ministerstwo Sportu i Turystyki,Ministerstwa z KPRM,40,209.64
Główny Urząd Nadzoru Budowlanego,Urzędy centralne,18,199.66
Komenda Główna Straży Granicznej,Urzędy centralne,42,182.48
Główny Inspektorat Sanitarny,Urzędy centralne,46,175.92
Generalna Dyrekcja Ochrony Środowiska,Urzędy centralne,41,173.21
Główny Inspektorat Farmaceutyczny,Urzędy centralne,46,163.58
Państwowa Agencja Atomistyki,Urzędy centralne,68,156.49
Główny Urząd Geodezji i Kartografii,Urzędy centralne,18,148.99
Biuro Rzecznika Praw Pacjenta,Urzędy centralne,66,137.0
Urząd do Spraw Kombatantów i Osób Represjonowanych,Urzędy centralne,54,136.94
Urząd Zamówień Publicznych,Urzędy centralne,49,135.0
Główny Inspektorat Weterynarii,Urzędy centralne,32,119.82
Komenda Główna Państwowej Straży Pożarnej,Urzędy centralne,42,84.85
Naczelna Dyrekcja Archiwów Państwowych,Urzędy centralne,24,64.92
Główny Inspektorat Rybołówstwa Morskiego z siedzibą w Słupsku,Urzędy centralne,62,59.98
Biuro do spraw Substancji Chemicznych,Urzędy centralne,46,28.82
