dept,name,url
DDW,"DOLNOŚLĄSKI URZĄD WOJEWÓDZKI WE WROCŁAWIU pl. Powstańców Warszawy 1, 50-153 WROCŁAW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DDW,"KOLEJE DOLNOŚLĄSKIE S.A. W LEGNICY ul. Kolejowa 2, 59-220 LEGNICA Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf"
DDW,"KOMENDA WOJEWÓDZKA POLICJI WE WROCŁAWIU Podwale 31-33, 50-040 WROCŁAW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DDW,"MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE SP. Z O.O. WE WROCŁAWIU ul. Bolesława Prusa 75-79, 50-316 WROCŁAW Wystąpienie Data publikacji : 2026","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf"
DDW,"URZĄD SKARBOWY WROCŁAW-PSIE POLE WE WROCŁAWIU ul. Trzebnicka 33, 50-231 WROCŁAW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DDW,"WOJEWÓDZKI INSPEKTORAT FARMACEUTYCZNY WE WROCŁAWIU ul. Ofiar Oświęcimskich 12, 50-069 WROCŁAW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DDW,"WOJEWÓDZKI URZĄD OCHRONY ZABYTKÓW WE WROCŁAWIU ul. Władysława Łokietka 11, 50-243 WROCŁAW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,ddw~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DKA,"Pierwszy Urząd Skarbowy w Bielsku-Białej ul. Teodora Sixta 17, 43-300 Bielsko-Biała Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DKA,"Śląski Urząd Wojewódzki w Katowicach ul. Jagiellońska 25, 40-032 Katowice Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DKA,"Starostwo Powiatowe w Raciborzu Plac Stefana Okrzei 4, 47-400 Racibórz Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf"
DKA,"Urząd Skarbowy Kraków-Prądnik ul. Krowoderskich Zuchów 2, 31-272 Kraków Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DKA,"Wojewódzki Inspektorat Farmaceutyczny w Katowicach ul. Raciborska 15, 40-074 Katowice Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DKA,"Wojewódzki Urząd Ochrony Zabytków w Katowicach ul. Francuska 12, 40-013 Katowice Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DKA,"Związek Powiatowo-Gminny pod nazwą Jedźmy Razem ul. Pułaskiego 6, 42-300 Myszków Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf"
DKB,"INSPEKTORAT WSPARCIA SIŁ ZBROJNYCH W BYDGOSZCZY ul. J. Dwernickiego 1, 85-915 BYDGOSZCZ Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DKB,"KOMENDA WOJEWÓDZKA POLICJI W BYDGOSZCZY ul. Powstańców Wlkp. 7, 85-090 BYDGOSZCZ Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf"
DKB,"KRAJOWE BIURO WYBORCZE DELEGATURA WE WŁOCŁAWKU ul. Brzeska 6, 87-800 WŁOCŁAWEK Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
